config_id,avg_relevance,avg_factual_accuracy,avg_coherence,avg_source_usage,avg_hallucination_resistance,avg_response_length,overall_quality,successful_queries,temperature,top_p,llm_top_k,retrieval_top_k,min_similarity,max_tokens,mirostat_eta,mirostat_tau
1,0.9942857142857143,0.8799999999999999,0.5421964285714286,0.44000000000000006,0.8800000000000001,216.4,0.7750107142857142,5,0.7,0.95,10,5,0.3,300,0.3,10.0
2,1.0,0.8399999999999999,0.7085353535353536,0.4,1.0,147.2,0.8117070707070707,5,0.5,0.9,5,2,0.3,200,0.8,10.0
3,0.9742857142857144,0.9,0.5764242424242424,0.52,1.0,197.4,0.8118562770562772,5,0.1,0.7,40,8,0.3,300,0.3,5.0
4,0.9942857142857143,0.8800000000000001,0.5787818431568432,0.43999999999999995,0.8800000000000001,208.8,0.7823277972027972,5,0.5,0.8,5,3,0.25,300,0.8,5.0
5,1.0,0.8599999999999998,0.7656666666666667,0.43999999999999995,0.9400000000000001,139.2,0.8251333333333333,5,0.3,0.95,10,8,0.35,200,0.5,5.0
6,1.0,0.8800000000000001,0.5128299008390542,0.48,0.8800000000000001,320.2,0.7765659801678109,5,0.5,0.95,40,2,0.25,500,0.5,7.0
7,0.9942857142857143,0.8799999999999999,0.5109232919254658,0.56,1.0,315.6,0.8047560869565217,5,0.1,0.95,40,8,0.25,500,0.3,10.0
8,0.9942857142857143,0.9,0.5413772893772894,0.4,0.8800000000000001,206.2,0.7738468864468865,5,0.7,0.7,10,5,0.3,300,0.8,10.0
9,0.9942857142857143,0.9,0.4753004875528095,0.52,1.0,325.4,0.7966315260819905,5,0.1,0.7,5,8,0.3,500,0.5,3.0
10,0.9942857142857143,0.8599999999999998,0.6490909090909092,0.4,1.0,147.8,0.8033896103896104,5,0.7,0.95,20,2,0.2,200,0.8,10.0
11,1.0,0.86,0.44043290383406664,0.52,0.9400000000000001,507.8,0.7720865807668132,5,0.3,0.8,20,8,0.2,800,0.3,3.0
12,1.0,0.8399999999999999,0.5636202020202021,0.48,0.8800000000000001,319.0,0.7767240404040403,5,0.1,0.95,20,2,0.35,500,0.3,3.0
